drug.id,drug.name,target
BRD-DRUG-100490,CIL56,
BRD-DRUG-102193,FQI-1,
BRD-DRUG-119769,BRD-K92856060,
BRD-DRUG-122255,B02,RAD51
BRD-DRUG-12877,BRD6340,
BRD-DRUG-142931,BRD-K45681478,
BRD-DRUG-153820,ML050,GPER1
BRD-DRUG-154846,ML162,
BRD-DRUG-176181,CIL41,
BRD-DRUG-17712,ML006,S1PR3
BRD-DRUG-182395,NSC30930,SRD5A2
BRD-DRUG-18311,Bax channel blocker,BAX
BRD-DRUG-183526,CIL70,
BRD-DRUG-185987,MI-1,MEN1
BRD-DRUG-19153,BRD9876,
BRD-DRUG-199337,DBeQ,VCP
BRD-DRUG-215497,Mdivi-1,DNM1
BRD-DRUG-23151,tretinoin,RARA;RARB;RARG
BRD-DRUG-23256,betulinic acid,
BRD-DRUG-24173,phloretin,SLC5A1
BRD-DRUG-24197,thalidomide,CRBN
BRD-DRUG-25036,gossypol,BCL2;BCL2L1;LDHA;LDHB;LDHC
BRD-DRUG-25334,chlorambucil,
BRD-DRUG-25344,fluorouracil,TYMS
BRD-DRUG-25393,isoliquiritigenin,
BRD-DRUG-255961,ML083,PKM
BRD-DRUG-267119,CID-5951923,KLF5
BRD-DRUG-26870,cimetidine,HRH2
BRD-DRUG-26874,azacitidine,DNMT1
BRD-DRUG-26914,trifluoperazine,DRD2
BRD-DRUG-26956,paclitaxel,
BRD-DRUG-26972,tamoxifen,ESR1;ESR2
BRD-DRUG-272805,IU1,USP14
BRD-DRUG-277354,dexamethasone,NR3C1
BRD-DRUG-27871,teniposide,TOP2A;TOP2B
BRD-DRUG-27872,sildenafil,PDE5A
BRD-DRUG-27894,simvastatin,HMGCR
BRD-DRUG-28172,parbendazole,
BRD-DRUG-28183,procarbazine,
BRD-DRUG-28452,curcumin,
BRD-DRUG-28784,ciclopirox,RRM1
BRD-DRUG-28801,epigallocatechin-3-monogallate,
BRD-DRUG-290356,ML311,MCL1
BRD-DRUG-29985,myricetin,
BRD-DRUG-30371,methotrexate,DHFR
BRD-DRUG-30620,lovastatin,HMGCR
BRD-DRUG-32372,valdecoxib,PTGS2
BRD-DRUG-32620,cyclophosphamide,
BRD-DRUG-32622,dacarbazine,
BRD-DRUG-32653,niclosamide,STAT3
BRD-DRUG-33166,prochlorperazine,DRD2
BRD-DRUG-345712,O-6-benzylguanine,MGMT
BRD-DRUG-347775,decitabine,DNMT1
BRD-DRUG-347812,CHIR-99021,GSK3B
BRD-DRUG-347813,BI-2536,PLK1
BRD-DRUG-348633,BRD-K61166597,
BRD-DRUG-348990,axitinib,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB
BRD-DRUG-348991,selumetinib,MAP2K1;MAP2K2
BRD-DRUG-348992,NVP-BEZ235,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG
BRD-DRUG-348997,GW-843682X,PLK1;PLK3
BRD-DRUG-349002,vandetanib,EGFR;KDR
BRD-DRUG-349006,sorafenib,BRAF;FLT3;KDR;RAF1
BRD-DRUG-350548,ML029,
BRD-DRUG-351043,temozolomide,
BRD-DRUG-35319,ifosfamide,
BRD-DRUG-3588,BRD4132,
BRD-DRUG-362063,QW-BI-011,EHMT2
BRD-DRUG-362207,BRD-K90370028,
BRD-DRUG-362338,SNX-2112,HSP90AA1;HSP90B1
BRD-DRUG-362342,navitoclax,BCL2;BCL2L1;BCL2L2
BRD-DRUG-36599,doxorubicin,TOP2A
BRD-DRUG-37190,ouabain,ATP1A1;ATP1A2;ATP1A3;ATP1A4;ATP1B1;ATP1B2;ATP1B3;ATP1B4
BRD-DRUG-374747,bexarotene,RXRA;RXRB;RXRG
BRD-DRUG-374749,nilotinib,ABL1;BCR;KIT
BRD-DRUG-374750,sunitinib,FLT1;FLT3;KDR;KIT;PDGFRA;PDGFRB
BRD-DRUG-374755,bendamustine,
BRD-DRUG-37479,BRD9647,
BRD-DRUG-375219,omacetaxine mepesuccinate,
BRD-DRUG-375256,CD-437,RARG
BRD-DRUG-375264,SCH-79797,F2R
BRD-DRUG-375354,LE-135,RARB
BRD-DRUG-375366,SKI-II,SPHK1
BRD-DRUG-375390,CI-976,ACAT1
BRD-DRUG-375435,necrostatin-1,RIPK1
BRD-DRUG-375447,GW-405833,CNR2
BRD-DRUG-375487,AC55649,RARB
BRD-DRUG-375492,RITA,MDM2;TP53
BRD-DRUG-375496,LY-2183240,FAAH
BRD-DRUG-375560,Ki8751,KDR;KIT;PDGFRA
BRD-DRUG-375562,CD-1530,RARG
BRD-DRUG-375564,TPCA-1,IKBKB
BRD-DRUG-375594,NSC632839,USP13;USP5
BRD-DRUG-375596,pifithrin-mu,HSPA1A;HSPA1B;HSPA1L;TP53
BRD-DRUG-375637,SN-38,TOP1
BRD-DRUG-376307,BRD-K80183349,HDAC1;HDAC2
BRD-DRUG-376693,BRD-K66532283,HDAC1;HDAC2
BRD-DRUG-377381,MK-2206,AKT1
BRD-DRUG-385240,triazolothiadiazine,PDE4A;PDE4B;PDE4D
BRD-DRUG-387472,BRD-K66453893,
BRD-DRUG-389297,BRD-K11533227,HDAC1;HDAC2
BRD-DRUG-39782,piperlongumine,
BRD-DRUG-397964,BRD-K27224038,
BRD-DRUG-404070,BRD1835,EZH2
BRD-DRUG-404452,BRD-K41597374,
BRD-DRUG-404566,BRD-K63431240,
BRD-DRUG-410270,BRD-K13999467,
BRD-DRUG-410703,BRD-K96970199,
BRD-DRUG-411714,brefeldin A,ARF1
BRD-DRUG-411716,AGK-2,SIRT2
BRD-DRUG-411717,L-685458,APH1A;NCSTN;PSEN1;PSENEN
BRD-DRUG-411719,PF-750,FAAH
BRD-DRUG-411720,triptolide,
BRD-DRUG-411722,nutlin-3,MDM2
BRD-DRUG-411724,AA-COCF3,FAAH;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D
BRD-DRUG-411726,16-beta-bromoandrosterone,
BRD-DRUG-411727,PRL-3 inhibitor I,PTP4A3
BRD-DRUG-411731,SID 26681509,CTSL1
BRD-DRUG-411733,neuronal differentiation inducer III,
BRD-DRUG-411734,NSC 74859,STAT3
BRD-DRUG-411737,bortezomib,PSMB1;PSMB2;PSMB5;PSMD1;PSMD2
BRD-DRUG-411738,ABT-737,BCL2;BCL2L1;BCL2L2
BRD-DRUG-411739,zebularine,DNMT1
BRD-DRUG-411742,PI-103,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC
BRD-DRUG-411749,tubastatin A,HDAC6
BRD-DRUG-411770,SR-II-138A,EIF4A2;EIF4E;EIF4G1
BRD-DRUG-411774,neopeltolide,
BRD-DRUG-411792,parthenolide,
BRD-DRUG-411805,Compound 7d-cis,XPO1
BRD-DRUG-411808,TG-101348,JAK2
BRD-DRUG-411809,pevonedistat,NAE1
BRD-DRUG-411814,AZD7545,PDK2
BRD-DRUG-411815,VER-155008,HSPA1A;HSPA1B;HSPA1L
BRD-DRUG-411816,ML203,PKM
BRD-DRUG-411820,SRT-1720,SIRT1
BRD-DRUG-411824,CAY10594,PLD2
BRD-DRUG-411827,Compound 1541A,CASP3;CASP6;CASP7
BRD-DRUG-411831,RG-108,DNMT1
BRD-DRUG-411832,PAC-1,CASP3
BRD-DRUG-411833,pluripotin,MAPK1;RASAL1
BRD-DRUG-411843,GMX-1778,NAMPT
BRD-DRUG-411856,avrainvillamide,NPM1
BRD-DRUG-411859,BMS-536924,IGF1R;INSR
BRD-DRUG-411863,gemcitabine,CMPK1;RRM1;TYMS
BRD-DRUG-411865,MST-312,TERT
BRD-DRUG-411867,olaparib,PARP1;PARP2
BRD-DRUG-411869,oligomycin A,ATP5L2
BRD-DRUG-411874,indisulam,CA9
BRD-DRUG-414479,BRD-K49290616,
BRD-DRUG-415688,BRD-K02492147,
BRD-DRUG-416775,austocystin D,
BRD-DRUG-416777,SJ-172550,MDM2;TP53
BRD-DRUG-416842,BRD-K09587429,
BRD-DRUG-417098,pandacostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
BRD-DRUG-417262,BRD-K96431673,
BRD-DRUG-417415,cyanoquinoline 11,MAP3K8
BRD-DRUG-417416,tipifarnib-P2,FNTA
BRD-DRUG-417417,tipifarnib-P1,FNTA
BRD-DRUG-417451,Compound 23 citrate,
BRD-DRUG-417452,nakiterpiosin,
BRD-DRUG-417663,CCT036477,
BRD-DRUG-417818,tamatinib,SYK
BRD-DRUG-417977,myriocin,SPTLC1;SPTLC2;SPTLC3
BRD-DRUG-417979,YM-155,BIRC5
BRD-DRUG-417981,BMS-754807,IGF1R
BRD-DRUG-417982,BIBR-1532,TERT
BRD-DRUG-417987,tosedostat,ANPEP;LAP3;NPEPPS
BRD-DRUG-418038,neratinib,EGFR;ERBB2
BRD-DRUG-418162,BRD1812,
BRD-DRUG-418163,BRD8958,EP300
BRD-DRUG-418164,serdemetan,MDM2
BRD-DRUG-418166,daporinad,NAMPT
BRD-DRUG-418167,MK-1775,WEE1
BRD-DRUG-418172,Ko-143,ABCG2
BRD-DRUG-418209,CR-1-31B,EIF4A2;EIF4E;EIF4G1
BRD-DRUG-42319,BRD-K26531177,
BRD-DRUG-425733,BRD-K71781559,
BRD-DRUG-429535,BRD-K86535717,
BRD-DRUG-431987,BRD-K48334597,
BRD-DRUG-434195,ML312,SCARB1
BRD-DRUG-435086,BRD-K04800985,
BRD-DRUG-435898,BRD-K78574327,
BRD-DRUG-436211,BRD-K19103580,
BRD-DRUG-437263,BRD-K30019337,
BRD-DRUG-437906,BRD-K84807411,
BRD-DRUG-438564,BRD-K44224150,
BRD-DRUG-438691,BRD-K75293299,
BRD-DRUG-438776,BRD-K64610608,
BRD-DRUG-439882,BRD-K09344309,
BRD-DRUG-444779,BRD-K55116708,
BRD-DRUG-44503,NSC23766,RAC1;TIAM1;TRIO
BRD-DRUG-44511,pyrazolanthrone,MAPK10;MAPK8;MAPK9
BRD-DRUG-44554,C6-ceramide,MAPK1;PPP2CA;UGCG
BRD-DRUG-44580,topotecan,TOP1
BRD-DRUG-446546,BRD-K41334119,
BRD-DRUG-446716,BRD-K34485477,
BRD-DRUG-447732,BRD-K16147474,
BRD-DRUG-448891,BRD-K29086754,
BRD-DRUG-449707,BRD-K33199242,
BRD-DRUG-450415,BRD-K52037352,
BRD-DRUG-45093,N9-isopropylolomoucine,CCNB1;CDK1;CDK5;CDK5R1
BRD-DRUG-452570,BRD-K27986637,
BRD-DRUG-463198,BRD-K37390332,
BRD-DRUG-464458,tandutinib,FLT3;KIT
BRD-DRUG-464880,fulvestrant,ESR1;GPER1
BRD-DRUG-46792,importazole,KPNB1
BRD-DRUG-478694,isonicotinohydroxamic acid,HDAC6
BRD-DRUG-481311,HLI 373,MDM2
BRD-DRUG-48589,etoposide,TOP2A
BRD-DRUG-50131,PRIMA-1,TP53
BRD-DRUG-50134,tanespimycin,HSP90AA1
BRD-DRUG-50140,blebbistatin,MYH1;MYH2
BRD-DRUG-50163,cytochalasin B,
BRD-DRUG-50715,NSC95397,CDC25A;CDC25B;CDC25C
BRD-DRUG-50727,manumycin A,FNTA;FNTB
BRD-DRUG-50732,mitomycin,
BRD-DRUG-50737,tacrolimus,PPP3CA;PPP3CB;PPP3CC;PPP3R1;PPP3R2
BRD-DRUG-50747,pifithrin-alpha,
BRD-DRUG-50753,SB-431542,TGFBR1
BRD-DRUG-50769,staurosporine,
BRD-DRUG-52123,SB-225002,CXCR2
BRD-DRUG-52133,PD 153035,EGFR
BRD-DRUG-52430,cerulenin,FASN;HMGCS1
BRD-DRUG-52576,purmorphamine,SMO
BRD-DRUG-52582,GSK-3 inhibitor IX,
BRD-DRUG-52882,dasatinib,EPHA2;KIT;LCK;SRC;YES1
BRD-DRUG-52926,gefitinib,AKT1;EGFR
BRD-DRUG-52928,erlotinib,EGFR;ERBB2
BRD-DRUG-53556,BRD-K94991378,
BRD-DRUG-53705,BIX-01294,EHMT2
BRD-DRUG-54200,tacedinaline,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
BRD-DRUG-54210,LBH-589,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
BRD-DRUG-55307,IC-87114,PIK3CD
BRD-DRUG-55512,ciclosporin,PPID
BRD-DRUG-56554,vorinostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
BRD-DRUG-56703,sirolimus,MTOR
BRD-DRUG-580922,NSC19630,WRN
BRD-DRUG-58339,KU-55933,ATM
BRD-DRUG-58442,sitagliptin,DPP4
BRD-DRUG-58455,AM-580,RARA
BRD-DRUG-58472,PDMP,UGCG
BRD-DRUG-58566,BRD-K71935468,
BRD-DRUG-58948,MG-132,PSMB1;PSMB2;PSMB5;PSMD1;PSMD2
BRD-DRUG-594399,NSC48300,TASP1
BRD-DRUG-594663,PRIMA-1-Met,TP53
BRD-DRUG-594664,isoevodiamine,
BRD-DRUG-594665,UNC0638,EHMT1;EHMT2
BRD-DRUG-595102,cucurbitacin I,
BRD-DRUG-596868,BRD-K50799972,
BRD-DRUG-600054,BRD-K17060750,
BRD-DRUG-601923,barasertib,AURKB
BRD-DRUG-60218,entinostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
BRD-DRUG-60225,belinostat,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8
BRD-DRUG-606033,linifanib,FLT1;FLT3;KDR
BRD-DRUG-606034,veliparib,PARP1;PARP2
BRD-DRUG-606035,saracatinib,ABL1;SRC
BRD-DRUG-606135,afatinib,EGFR;ERBB2
BRD-DRUG-606136,cediranib,FLT1;FLT4;KDR
BRD-DRUG-606138,canertinib,EGFR;ERBB2
BRD-DRUG-606142,obatoclax,BCL2;BCL2L1;MCL1
BRD-DRUG-606144,ZSTK474,PIK3CB;PIK3CD;PIK3CG
BRD-DRUG-606246,brivanib,FLT1;KDR
BRD-DRUG-606248,GDC-0879,BRAF
BRD-DRUG-606249,NVP-TAE684,ALK
BRD-DRUG-606254,SNS-032,CDK16;CDK17;CDK2;CDK7;CDK9;CDKL5
BRD-DRUG-606256,PLX-4720,BRAF
BRD-DRUG-606356,TGX-221,PIK3CB
BRD-DRUG-606363,KU-0063794,MTOR
BRD-DRUG-606470,TG-100-115,PIK3CD;PIK3CG
BRD-DRUG-606471,GSK1059615,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG
BRD-DRUG-606586,SU11274,MET
BRD-DRUG-606670,BRD-K88742110,HDAC8
BRD-DRUG-60679,BEC,ARG1;ARG2
BRD-DRUG-607696,LRRK2-IN-1,DCLK1;LRRK2
BRD-DRUG-608062,BRD8899,STK33
BRD-DRUG-608999,EX-527,SIRT1
BRD-DRUG-609056,ELCPK,
BRD-DRUG-609058,NPC-26,
BRD-DRUG-609060,1S,3R-RSL-3,GPX4
BRD-DRUG-609061,CIL55A,
BRD-DRUG-609062,SCH-529074,TP53
BRD-DRUG-609063,StemRegenin 1,AHR
BRD-DRUG-609091,FQI-2,
BRD-DRUG-609110,ML210,
BRD-DRUG-609121,darinaparsin,
BRD-DRUG-609124,PX-12,TXN
BRD-DRUG-609332,GANT-61,
BRD-DRUG-609440,PL-DI,
BRD-DRUG-609596,TW-37,BCL2;BCL2L1
BRD-DRUG-609639,AZD8055,MTOR
